project,commit_hash,commit_msg,file_changed,sentiment_score,subjectivity_score,bug_fix_commit
Math,3bde240f035eb8585499640b7e6cf5fc6c69e85b,added new commons math component,.cvsignore,0.13636363636363635,0.45454545454545453,False
Math,3bde240f035eb8585499640b7e6cf5fc6c69e85b,added new commons math component,PROPOSAL.html,0.13636363636363635,0.45454545454545453,False
Math,3bde240f035eb8585499640b7e6cf5fc6c69e85b,added new commons math component,RELEASE-NOTES.txt,0.13636363636363635,0.45454545454545453,False
Math,3bde240f035eb8585499640b7e6cf5fc6c69e85b,added new commons math component,STATUS.html,0.13636363636363635,0.45454545454545453,False
Math,3bde240f035eb8585499640b7e6cf5fc6c69e85b,added new commons math component,build.properties.sample,0.13636363636363635,0.45454545454545453,False
Math,3bde240f035eb8585499640b7e6cf5fc6c69e85b,added new commons math component,build.xml,0.13636363636363635,0.45454545454545453,False
Math,3bde240f035eb8585499640b7e6cf5fc6c69e85b,added new commons math component,src/conf/MANIFEST.MF,0.13636363636363635,0.45454545454545453,False
Math,2ba37fcc850b99508f027bed167962430fdf8d2f,Starting source code - basic matrix operations and univarient stats plus test code. Submitted by Phil Steitz.,build.xml,0.0,0.1125,False
Math,2ba37fcc850b99508f027bed167962430fdf8d2f,Starting source code - basic matrix operations and univarient stats plus test code. Submitted by Phil Steitz.,src/java/org/apache/commons/math/Freq.java,0.0,0.1125,False
Math,2ba37fcc850b99508f027bed167962430fdf8d2f,Starting source code - basic matrix operations and univarient stats plus test code. Submitted by Phil Steitz.,src/java/org/apache/commons/math/RealMatrix.java,0.0,0.1125,False
Math,2ba37fcc850b99508f027bed167962430fdf8d2f,Starting source code - basic matrix operations and univarient stats plus test code. Submitted by Phil Steitz.,src/java/org/apache/commons/math/RealMatrixImpl.java,0.0,0.1125,False
Math,2ba37fcc850b99508f027bed167962430fdf8d2f,Starting source code - basic matrix operations and univarient stats plus test code. Submitted by Phil Steitz.,src/java/org/apache/commons/math/Univariate.java,0.0,0.1125,False
Math,2ba37fcc850b99508f027bed167962430fdf8d2f,Starting source code - basic matrix operations and univarient stats plus test code. Submitted by Phil Steitz.,src/test/org/apache/commons/math/FreqTest.java,0.0,0.1125,False
Math,2ba37fcc850b99508f027bed167962430fdf8d2f,Starting source code - basic matrix operations and univarient stats plus test code. Submitted by Phil Steitz.,src/test/org/apache/commons/math/MathTestSuite.java,0.0,0.1125,False
Math,2ba37fcc850b99508f027bed167962430fdf8d2f,Starting source code - basic matrix operations and univarient stats plus test code. Submitted by Phil Steitz.,src/test/org/apache/commons/math/RealMatrixImplTest.java,0.0,0.1125,False
